id,student,course,calendar,program,period,entry_datetime,grade,term_final_value
35,6,5,3,2,5,2018-10-01 4:05:06,0.51,FALSE
36,6,6,3,2,6,2018-10-01 4:05:06,0.70,FALSE
37,7,7,3,2,1,2018-10-01 4:05:06,0.96,FALSE
38,7,8,3,2,2,2018-10-01 4:05:06,0.73,FALSE
39,7,9,3,2,3,2018-10-01 4:05:06,0.87,FALSE
40,7,10,3,2,4,2018-10-01 4:05:06,0.95,FALSE
41,7,11,3,2,5,2018-10-01 4:05:06,0.73,FALSE
42,7,12,3,2,6,2018-10-01 4:05:06,0.81,FALSE
43,8,7,3,2,1,2018-10-01 4:05:06,0.90,FALSE
44,8,8,3,2,2,2018-10-01 4:05:06,0.93,FALSE
45,8,9,3,2,3,2018-10-01 4:05:06,0.50,FALSE
46,8,10,3,2,4,2018-10-01 4:05:06,0.92,FALSE
47,8,11,3,2,5,2018-10-01 4:05:06,0.70,FALSE
48,8,12,3,2,6,2018-10-01 4:05:06,0.90,FALSE
49,1,1,3,1,1,2018-11-01 4:05:06,0.61,FALSE
50,1,2,3,1,2,2018-11-01 4:05:06,0.75,FALSE
51,1,3,3,1,3,2018-11-01 4:05:06,0.89,FALSE
52,1,4,3,1,4,2018-11-01 4:05:06,0.81,FALSE
53,1,5,3,1,5,2018-11-01 4:05:06,0.91,FALSE
54,1,6,3,1,6,2018-11-01 4:05:06,0.78,FALSE
55,2,1,3,1,1,2018-11-01 4:05:06,0.73,FALSE
56,2,2,3,1,2,2018-11-01 4:05:06,0.59,FALSE
57,2,3,3,1,3,2018-11-01 4:05:06,0.95,FALSE
58,2,4,3,1,4,2018-11-01 4:05:06,0.61,FALSE
59,2,5,3,1,5,2018-11-01 4:05:06,0.53,FALSE
60,2,6,3,1,6,2018-11-01 4:05:06,0.54,FALSE
61,3,7,3,1,1,2018-11-01 4:05:06,0.93,FALSE
62,3,8,3,1,2,2018-11-01 4:05:06,0.78,FALSE
63,3,9,3,1,3,2018-11-01 4:05:06,0.89,FALSE
64,3,10,3,1,4,2018-11-01 4:05:06,0.78,FALSE
65,3,11,3,1,5,2018-11-01 4:05:06,0.78,FALSE
66,3,12,3,1,6,2018-11-01 4:05:06,0.76,FALSE
67,4,7,3,1,1,2018-11-01 4:05:06,0.77,FALSE
68,4,8,3,1,2,2018-11-01 4:05:06,0.66,FALSE
69,4,9,3,1,3,2018-11-01 4:05:06,0.86,FALSE
70,4,10,3,1,4,2018-11-01 4:05:06,0.62,FALSE
71,4,11,3,1,5,2018-11-01 4:05:06,0.85,FALSE
72,4,12,3,1,6,2018-11-01 4:05:06,0.99,FALSE
73,5,1,3,2,1,2018-11-01 4:05:06,0.54,FALSE
74,5,2,3,2,2,2018-11-01 4:05:06,0.90,FALSE
75,5,3,3,2,3,2018-11-01 4:05:06,0.93,FALSE
76,5,4,3,2,4,2018-11-01 4:05:06,0.87,FALSE
77,5,5,3,2,5,2018-11-01 4:05:06,0.71,FALSE
78,5,6,3,2,6,2018-11-01 4:05:06,0.51,FALSE
79,6,1,3,2,1,2018-11-01 4:05:06,0.57,FALSE
80,6,2,3,2,2,2018-11-01 4:05:06,0.59,FALSE
81,6,3,3,2,3,2018-11-01 4:05:06,0.74,FALSE
82,6,4,3,2,4,2018-11-01 4:05:06,0.57,FALSE
83,6,5,3,2,5,2018-11-01 4:05:06,0.55,FALSE
84,6,6,3,2,6,2018-11-01 4:05:06,0.52,FALSE
85,7,7,3,2,1,2018-11-01 4:05:06,0.59,FALSE
86,7,8,3,2,2,2018-11-01 4:05:06,0.57,FALSE
87,7,9,3,2,3,2018-11-01 4:05:06,0.54,FALSE
88,7,10,3,2,4,2018-11-01 4:05:06,0.68,FALSE
89,7,11,3,2,5,2018-11-01 4:05:06,0.99,FALSE
90,7,12,3,2,6,2018-11-01 4:05:06,0.63,FALSE
91,8,7,3,2,1,2018-11-01 4:05:06,0.99,FALSE
92,8,8,3,2,2,2018-11-01 4:05:06,0.72,FALSE
93,8,9,3,2,3,2018-11-01 4:05:06,0.78,FALSE
94,8,10,3,2,4,2018-11-01 4:05:06,0.55,FALSE
95,8,11,3,2,5,2018-11-01 4:05:06,0.63,FALSE
96,8,12,3,2,6,2018-11-01 4:05:06,0.92,FALSE
97,1,1,2,1,1,2018-06-15 4:05:06,0.91,TRUE
98,1,2,2,1,2,2018-06-15 4:05:06,0.76,TRUE
99,1,3,2,1,3,2018-06-15 4:05:06,0.66,TRUE
100,1,4,2,1,4,2018-06-15 4:05:06,0.85,TRUE
101,1,5,2,1,5,2018-06-15 4:05:06,0.71,TRUE
102,1,6,2,1,6,2018-06-15 4:05:06,0.69,TRUE
103,2,1,2,1,1,2018-06-15 4:05:06,0.79,TRUE
104,2,2,2,1,2,2018-06-15 4:05:06,0.77,TRUE
105,2,3,2,1,3,2018-06-15 4:05:06,0.75,TRUE
106,2,4,2,1,4,2018-06-15 4:05:06,0.59,TRUE
107,2,5,2,1,5,2018-06-15 4:05:06,0.66,TRUE
108,2,6,2,1,6,2018-06-15 4:05:06,0.58,TRUE
109,3,1,2,1,1,2018-06-15 4:05:06,0.95,TRUE
110,3,2,2,1,2,2018-06-15 4:05:06,0.59,TRUE
111,3,3,2,1,3,2018-06-15 4:05:06,0.59,TRUE
112,3,4,2,1,4,2018-06-15 4:05:06,0.56,TRUE
113,3,5,2,1,5,2018-06-15 4:05:06,0.50,TRUE
114,3,6,2,1,6,2018-06-15 4:05:06,0.50,TRUE
115,4,1,2,1,1,2018-06-15 4:05:06,0.64,TRUE
116,4,2,2,1,2,2018-06-15 4:05:06,0.76,TRUE
117,4,3,2,1,3,2018-06-15 4:05:06,0.87,TRUE
118,4,4,2,1,4,2018-06-15 4:05:06,0.81,TRUE
119,4,5,2,1,5,2018-06-15 4:05:06,0.54,TRUE
120,4,6,2,1,6,2018-06-15 4:05:06,0.86,TRUE
121,5,7,2,2,1,2018-06-15 4:05:06,0.54,TRUE
122,5,8,2,2,2,2018-06-15 4:05:06,0.86,TRUE
123,5,9,2,2,3,2018-06-15 4:05:06,0.57,TRUE
124,5,10,2,2,4,2018-06-15 4:05:06,0.91,TRUE
125,5,11,2,2,5,2018-06-15 4:05:06,0.82,TRUE
126,5,12,2,2,6,2018-06-15 4:05:06,0.72,TRUE
127,6,7,2,2,1,2018-06-15 4:05:06,0.94,TRUE
128,6,8,2,2,2,2018-06-15 4:05:06,0.69,TRUE
129,6,9,2,2,3,2018-06-15 4:05:06,0.92,TRUE
130,6,10,2,2,4,2018-06-15 4:05:06,0.51,TRUE
131,6,11,2,2,5,2018-06-15 4:05:06,0.62,TRUE
132,6,12,2,2,6,2018-06-15 4:05:06,0.95,TRUE
133,7,7,2,2,1,2018-06-15 4:05:06,0.90,TRUE
134,7,8,2,2,2,2018-06-15 4:05:06,0.56,TRUE
135,7,9,2,2,3,2018-06-15 4:05:06,0.86,TRUE
136,7,10,2,2,4,2018-06-15 4:05:06,0.88,TRUE
137,7,11,2,2,5,2018-06-15 4:05:06,0.98,TRUE
138,7,12,2,2,6,2018-06-15 4:05:06,0.89,TRUE
139,8,7,2,2,1,2018-06-15 4:05:06,0.63,TRUE
140,8,8,2,2,2,2018-06-15 4:05:06,0.97,TRUE
141,8,9,2,2,3,2018-06-15 4:05:06,0.94,TRUE
142,8,10,2,2,4,2018-06-15 4:05:06,0.63,TRUE
143,8,11,2,2,5,2018-06-15 4:05:06,0.93,TRUE
144,8,12,2,2,6,2018-06-15 4:05:06,0.86,TRUE
145,1,1,1,1,1,2017-12-20 4:05:06,0.54,TRUE
146,1,2,1,1,2,2017-12-20 4:05:06,0.73,TRUE
147,1,3,1,1,3,2017-12-20 4:05:06,0.96,TRUE
148,1,4,1,1,4,2017-12-20 4:05:06,0.60,TRUE
149,1,5,1,1,5,2017-12-20 4:05:06,0.76,TRUE
150,1,6,1,1,6,2017-12-20 4:05:06,0.61,TRUE
151,2,1,1,1,1,2017-12-20 4:05:06,0.81,TRUE
152,2,2,1,1,2,2017-12-20 4:05:06,0.76,TRUE
153,2,3,1,1,3,2017-12-20 4:05:06,0.90,TRUE
154,2,4,1,1,4,2017-12-20 4:05:06,0.81,TRUE
155,2,5,1,1,5,2017-12-20 4:05:06,0.99,TRUE
156,2,6,1,1,6,2017-12-20 4:05:06,0.91,TRUE
157,3,1,1,1,1,2017-12-20 4:05:06,0.76,TRUE
158,3,2,1,1,2,2017-12-20 4:05:06,0.77,TRUE
159,3,3,1,1,3,2017-12-20 4:05:06,0.60,TRUE
160,3,4,1,1,4,2017-12-20 4:05:06,0.79,TRUE
161,3,5,1,1,5,2017-12-20 4:05:06,0.59,TRUE
162,3,6,1,1,6,2017-12-20 4:05:06,0.76,TRUE
163,4,1,1,1,1,2017-12-20 4:05:06,0.55,TRUE
164,4,2,1,1,2,2017-12-20 4:05:06,0.94,TRUE
165,4,3,1,1,3,2017-12-20 4:05:06,1.00,TRUE
166,4,4,1,1,4,2017-12-20 4:05:06,0.72,TRUE
167,4,5,1,1,5,2017-12-20 4:05:06,0.55,TRUE
168,4,6,1,1,6,2017-12-20 4:05:06,0.65,TRUE
169,5,7,1,2,1,2017-12-20 4:05:06,0.83,TRUE
170,5,8,1,2,2,2017-12-20 4:05:06,0.94,TRUE
171,5,9,1,2,3,2017-12-20 4:05:06,0.66,TRUE
172,5,10,1,2,4,2017-12-20 4:05:06,0.92,TRUE
173,5,11,1,2,5,2017-12-20 4:05:06,0.53,TRUE
174,5,12,1,2,6,2017-12-20 4:05:06,0.82,TRUE
175,6,7,1,2,1,2017-12-20 4:05:06,0.94,TRUE
176,6,8,1,2,2,2017-12-20 4:05:06,0.81,TRUE
177,6,9,1,2,3,2017-12-20 4:05:06,0.75,TRUE
178,6,10,1,2,4,2017-12-20 4:05:06,0.85,TRUE
179,6,11,1,2,5,2017-12-20 4:05:06,0.97,TRUE
180,6,12,1,2,6,2017-12-20 4:05:06,0.75,TRUE
181,7,7,1,2,1,2017-12-20 4:05:06,0.67,TRUE
182,7,8,1,2,2,2017-12-20 4:05:06,0.72,TRUE
183,7,9,1,2,3,2017-12-20 4:05:06,0.87,TRUE
184,7,10,1,2,4,2017-12-20 4:05:06,0.73,TRUE
185,7,11,1,2,5,2017-12-20 4:05:06,0.77,TRUE
186,7,12,1,2,6,2017-12-20 4:05:06,0.75,TRUE
187,8,7,1,2,1,2017-12-20 4:05:06,0.87,TRUE
188,8,8,1,2,2,2017-12-20 4:05:06,0.54,TRUE
189,8,9,1,2,3,2017-12-20 4:05:06,0.76,TRUE
190,8,10,1,2,4,2017-12-20 4:05:06,0.75,TRUE
191,8,11,1,2,5,2017-12-20 4:05:06,0.50,TRUE
192,8,12,1,2,6,2017-12-20 4:05:06,0.96,TRUE
